,CommonName_eBird,Coastal,Notes,
111,Common Reed Warbler,Yes,breed only in coastal mangroves,
112,Basra Reed Warbler,No,,
113,Lesser Swamp Warbler,Yes,estuaries,
114,Greater Swamp Warbler,No,,
115,Madagascar Swamp Warbler,Yes,mangroves,
116,Great Reed Warbler,Yes,brackish water ,
117,Oriental Reed Warbler,Yes,coastal marshes and estuaries,
118,Clamorous Reed Warbler,Yes,mangroves and saltmarhes,
119,Australian Reed Warbler,No,,
120,River Warbler,No,,
121,Little Rush Warbler,Yes,estuaries,
122,Caribbean Martin,Yes,sea coasts and beaches,
123,Mangrove Swallow,Yes,mangroves and coastal beaches,
124,Bahama Swallow,Yes,along the coast,
125,Bank Swallow,Yes,coastal banks,
126,Rock Martin,Yes,coasts,
127,Pacific Swallow,Yes,rocky coasts,
128,Cliff Swallow,No,no explicit mention of coastal habitat,
129,Cave Swallow,No,,
130,Common House-Martin,Yes,coastal cliffs  ,
131,Asian House-Martin,Yes,sea coasts  ,
132,Cape Bulbul,Yes,coastal scrub,
133,Canary Islands Chiffchaff,No,,
134,Arctic Warbler,Yes,mangroves,
135,Western Subalpine Warbler,Yes,coastal mangroves,
136,Eastern Subalpine Warbler,Yes,coastal mangroves,
137,Cape White-eye,Yes,coastal habitats,
138,Snowy-browed Nuthatch,No,,
139,Western Rock Nuthatch,No,,
140,Eastern Rock Nuthatch,No,,
141,Tropical Gnatcatcher,Yes,mangroves,
142,Rock Wren,Yes,oceanic cliffs,
143,House Wren,No,,
144,Pacific Wren,Yes,coastal forests,
145,Sedge Wren,Yes,coastal marshes  ,
146,Marsh Wren,Yes,coastal tidal salt marshes,
147,Bay Wren,No,,
148,Bank Myna,No,,
149,Cape Starling,No,,
150,Bahama Mockingbird,Yes,Coastal Strand,
151,Tropical Mockingbird,Yes,coastal scrubland,
152,Swamp Flycatcher,No,no mention of coast,
153,Karoo Scrub-Robin,Yes,coastal scrub and sandy beaches,
154,Bearded Scrub-Robin,No,,
155,Red-backed Scrub-Robin,No,,
156,Mangrove Blue Flycatcher,Yes,coastal mangroves,
157,Cape Robin-Chat,Yes,forages in intertidal zone,
158,Collared Palm-Thrush,No,,
159,Snowy-browed Flycatcher,No,,
160,Blue-capped Rock-Thrush,No,,
161,Blue Rock-Thrush,Yes,rocky coasts,
162,Cape Rock-Thrush,Yes,forages in intertidal zone,
163,Brown Rock Chat,No,,
164,Palmchat,No,,
165,Cape Sugarbird,No,,
166,Cape Weaver,No,,
167,Baya Weaver,Yes,mangroves,
168,House Sparrow,No,,
169,Dead Sea Sparrow,No,,
170,Cape Sparrow,Yes,coastal cliffs,
171,Rock Sparrow,No,,
172,Cape Wagtail,Yes,sandy and rocky coasts,
173,Paddyfield Pipit,No,,
174,Water Pipit,Yes,coastal saltings,
175,Rock Pipit,Yes,rocky sea coasts,
176,Scrub Euphonia,No,,
177,House Finch,No,,
178,Cape Siskin,Yes,coastal scrub,
179,Island Canary,No,,
180,Cape Canary,Yes,beaches,
181,Rock Bunting,No,,
182,Cape Bunting,No,,
183,House Bunting,No,,
184,Reed Bunting,No,inland waters ,
185,Black-headed Brushfinch,No,,
186,Gray-browed Brushfinch,No,,
187,Green-striped Brushfinch,No,,
188,Chestnut-capped Brushfinch,No,,
189,Seaside Sparrow,Yes,tidal marshes,
190,Saltmarsh Sparrow,Yes,coastal marshes,
191,Swamp Sparrow,Yes,coastal marshes,
192,Rufous-capped Brushfinch,No,,
193,White-naped Brushfinch,No,,
194,Moustached Brushfinch,No,,
195,Ochre-breasted Brushfinch,No,,
196,Slaty Brushfinch,No,,
197,Pale-naped Brushfinch,No,,
198,Rusty-bellied Brushfinch,No,,
199,Cuzco Brushfinch,No,,
200,Black-faced Brushfinch,No,,
201,Black-crowned Palm-Tanager,Yes,mangroves,
202,Bahama Oriole,Yes,coastal areas  ,
203,Scrub Blackbird,Yes,coastal areas  ,
204,Carib Grackle,No,,
205,Grayish Baywing,No,,
206,Yellow-rumped Marshbird,No,,
207,Brown-and-yellow Marshbird,No,,
208,Worm-eating Warbler,Yes,coastal plains ,
209,Louisiana Waterthrush,Yes,coastal mangroves sometimes,
210,Northern Waterthrush,Yes,mangroves and coastal scrub,
211,Cape May Warbler,Yes,mangroves and coastal vegetation,
212,Tropical Parula,Yes,mangroves,
213,Bay-breasted Warbler,Yes,coastal habitats,
214,Palm Warbler,Yes,coastal stands,
215,Riverbank Warbler,No,no explicit mention of coastal habitats,
216,Palm Tanager,No,,
217,Scrub Tanager,No,,
218,Bay-headed Tanager,No,,
219,Glacier Finch,No,,
220,Long-tailed Reed Finch,No,,
221,Yellow-throated Scrubwren,Yes,coastal habitats ,
