"","Family_Sci","Family_English","Coastal","Notes"
"82","Emberizidae","(Old World Buntings)","No",""
"83","Maluridae","(Fairywrens)","No",""
"84","Petroicidae","(Australasian Robins)","No",""
"85","Prunellidae","(Accentors)","No",""
"86","Rhipiduridae","(Fantails)","No",""
"87","Zosteropidae","(White-eyes, Yuhinas, and Allies)","No",""
"88","Phasianidae","(Pheasants, Grouse, and Allies)","No",""
"89","Podicipedidae","(Grebes)","Yes",""
"90","Apodidae","(Swifts)","No",""
"91","Recurvirostridae","(Stilts and Avocets)","Yes",""
"92","Haematopodidae","(Oystercatchers)","Yes",""
"93","Alcidae","(Auks, Murres, and Puffins)","Yes",""
"94","Gaviidae","(Loons)","Yes",""
"95","Pelecanidae","(Pelicans)","Yes",""
"96","Threskiornithidae","(Ibises and Spoonbills)","Yes","some in coastal lagoons"
"97","Cathartidae","(New World Vultures)","Yes",""
"98","Alcedinidae","(Kingfishers)","Yes",""
"99","Corvidae","(Crows, Jays, and Magpies)","No",""
"100","Remizidae","(Penduline-Tits)","No",""
"101","Hirundinidae","(Swallows)","No",""
"102","Aegithalidae","(Long-tailed Tits)","No",""
"103","Bombycillidae","(Waxwings)","No",""
"104","Polioptilidae","(Gnatcatchers)","No",""
"105","Troglodytidae","(Wrens)","No",""
"106","Mimidae","(Mockingbirds and Thrashers)","No",""
"107","Sturnidae","(Starlings)","No",""
"108","Anhimidae","(Screamers)","No","Freshwater habitats like swamps, marshes, lagoons "
"109","Anseranatidae","(Magpie Goose)","No",""
"110","Aegothelidae","(Owlet-nightjars)","No",""
"111","Hemiprocnidae","(Treeswifts)","No",""
"112","Apterygidae","(Kiwis)","No",""
"113","Bucerotidae","(Hornbills)","No",""
"114","Phoeniculidae","(Woodhoopoes and Scimitarbills)","No",""
"115","Upupidae","(Hoopoes)","No",""
"116","Nyctibiidae","(Potoos)","No",""
"117","Cariamidae","(Seriemas)","No",""
"118","Casuariidae","(Cassowaries and Emu)","No",""
"119","Dromadidae","(Crab-Plover)","Yes",""
"120","Glareolidae","(Pratincoles and Coursers)","No",""
"121","Jacanidae","(Jacanas)","Yes","freshwater wetlands"
"122","Rostratulidae","(Painted-Snipes)","Yes","coastal and inland wetlands"
"123","Stercorariidae","(Skuas and Jaegers)","Yes",""
"124","Thinocoridae","(Seedsnipes)","No","possibly coastal dunes"
"125","Turnicidae","(Buttonquail)","No",""
"126","Ciconiidae","(Storks)","Yes","wetlands - freshwater and saltwater"
"127","Coliidae","(Mousebirds)","No",""
"128","Coraciidae","(Rollers)","No",""
"129","Meropidae","(Bee-eaters)","No",""
"130","Momotidae","(Motmots)","No",""
"131","Todidae","(Todies)","No",""
"132","Eurypygidae","(Sunbittern)","No",""
"133","Cracidae","(Guans, Chachalacas, and Curassows)","No",""
"134","Megapodiidae","(Megapodes)","No",""
"135","Numididae","(Guineafowl)","No",""
"136","Aramidae","(Limpkin)","No",""
"137","Leptosomidae","(Cuckoo-roller)","No",""
"138","Musophagidae","(Turacos)","No",""
"139","Opisthocomidae","(Hoatzin)","No",""
"140","Otididae","(Bustards)","No",""
"141","Acanthisittidae","(New Zealand Wrens)","No",""
"142","Aegithinidae","(Ioras)","No",""
"143","Artamidae","(Woodswallows, Bellmagpies, and Allies)","No",""
"144","Campephagidae","(Cuckooshrikes)","No",""
"145","Vangidae","(Vangas, Helmetshrikes, and Allies)","No",""
"146","Thraupidae","(Tanagers and Allies)","No",""
"147","Chloropseidae","(Leafbirds)","No",""
"148","Cinclosomatidae","(Quail-thrushes and Jewel-babblers)","No",""
"149","Cisticolidae","(Cisticolas and Allies)","No",""
"150","Climacteridae","(Australasian Treecreepers)","No",""
"151","Conopophagidae","(Gnateaters)","No",""
"152","Corcoracidae","(White-winged Chough and Apostlebird)","No",""
"153","Cotingidae","(Cotingas)","No",""
"154","Dasyornithidae","(Bristlebirds)","No",""
"155","Furnariidae","(Ovenbirds and Woodcreepers)","No",""
"156","Dicaeidae","(Flowerpeckers)","No",""
"157","Dicruridae","(Drongos)","No",""
"158","Dulidae","(Palmchat)","No",""
"159","Estrildidae","(Waxbills and Allies)","No",""
"160","Eurylaimidae","(Asian and Grauer's Broadbills)","No",""
"161","Falcunculidae","(Shrike-tits)","No",""
"162","Formicariidae","(Antthrushes)","No",""
"163","Irenidae","(Fairy-bluebirds)","No",""
"164","Malaconotidae","(Bushshrikes and Allies)","No",""
"165","Menuridae","(Lyrebirds)","No",""
"166","Monarchidae","(Monarch Flycatchers)","No",""
"167","Nectariniidae","(Sunbirds and Spiderhunters)","No",""
"168","Neosittidae","(Sittellas)","No",""
"169","Oriolidae","(Old World Orioles)","No",""
"170","Orthonychidae","(Logrunners)","No",""
"171","Paradisaeidae","(Birds-of-Paradise)","No",""
"172","Pardalotidae","(Pardalotes)","No",""
"173","Ploceidae","(Weavers and Allies)","No",""
"174","Peucedramidae","(Olive Warbler)","No",""
"175","Pipridae","(Manakins)","No",""
"176","Pittidae","(Pittas)","No",""
"177","Platysteiridae","(Wattle-eyes and Batises)","No",""
"178","Pomatostomidae","(Pseudo-Babblers)","No",""
"179","Promeropidae","(Sugarbirds)","No",""
"180","Ptilonorhynchidae","(Bowerbirds)","No",""
"181","Pycnonotidae","(Bulbuls)","No",""
"182","Rhinocryptidae","(Tapaculos)","No",""
"183","Thamnophilidae","(Typical Antbirds)","No",""
"184","Timaliidae","(Tree-Babblers, Scimitar-Babblers, and Allies)","No",""
"185","Viduidae","(Indigobirds)","No",""
"186","Balaenicipitidae","(Shoebill)","No",""
"187","Scopidae","(Hamerkop)","No",""
"188","Phaethontidae","(Tropicbirds)","No",""
"189","Phoenicopteridae","(Flamingos)","Yes","freshwater and beaches"
"190","Bucconidae","(Puffbirds)","No",""
"191","Galbulidae","(Jacamars)","No",""
"192","Indicatoridae","(Honeyguides)","No",""
"193","Ramphastidae","(Toucans)","No",""
"194","Diomedeidae","(Albatrosses)","Yes",""
"195","Procellariidae","(Shearwaters and Petrels)","Yes",""
"196","Psittacidae","(New World and African Parrots)","No",""
"197","Rheidae","(Rheas)","No",""
"198","Spheniscidae","(Penguins)","Yes",""
"199","Struthionidae","(Ostriches)","No",""
"200","Anhingidae","(Anhingas)","Yes","brackish water sometimes"
"201","Fregatidae","(Frigatebirds)","Yes",""
"202","Phalacrocoracidae","(Cormorants and Shags)","Yes",""
"203","Sulidae","(Boobies and Gannets)","Yes",""
"204","Tinamidae","(Tinamous)","No",""
"205","Trogonidae","(Trogons)","No",""
